Rk,Player,Debut,Age,Yrs,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,ID,Height,Weight,Wingspan,Standing Reach,Hand Length,Hand Width,Standing Vertical,Vertical Leap,LANE,SHUTTLE,SPRINT,BENCH,BAR,PAN,PBHGT,PDHGT
12,Ignas Brazdeikis,Nov 3 '19 NYK vs. SAC,21,3,13.09,1.91,4.58,0.61,1.94,0.55,0.80,0.56,1.91,0.91,0.22,0.11,0.48,1.14,4.97,brazdig01,77.75,220.8,81.25,102,8.75,9.5,31,36.5,11.06,3.17,3.36,13,104.50%,8310.00%,133,138.5
97,Isaiah Roby,Jan 29 '20 OKC @ SAC,21,4,18.93,2.91,6.01,0.62,1.77,1.23,1.81,1.23,4.42,1.43,0.70,0.52,1.25,2.15,7.68,robyis01,79.25,214,85,106,9,10.5,32.5,35.5,10.63,3.05,3.25,9,107.30%,9450.00%,138.5,141.5
61,Jalen Lecque,Jan 16 '20 PHO @ NYK,19,2,4.89,0.56,2.11,0.00,0.56,0.56,0.56,0.22,0.78,0.44,0.00,0.00,0.22,0.33,1.67,lecquja01,74.5,185.2,80.5,98.5,8.75,8.5,35,43,11.09,3.3,3.29,1,108.10%,7440.00%,133.5,141.5
69,Jalen McDaniels,Oct 25 '19 CHO vs. MIN,22,6,18.06,2.52,5.61,0.69,2.14,1.01,1.30,0.71,3.29,1.16,0.65,0.33,0.85,1.92,6.74,mcdanja01,80.25,191.6,84.25,105.5,9,10,29.5,33.5,11.54,3.23,3.32,0,105.00%,9000.00%,135,139
41,Jared Harper,Oct 23 '19 PHO vs. SAC,22,3,4.19,0.94,2.13,0.31,0.94,0.44,0.50,0.13,0.25,0.94,0.25,0.06,0.31,0.38,2.63,harpeja01,69.75,169.2,77.5,94,8.25,9.5,33.5,40.5,10.77,3.02,3.04,8,111.10%,7840.00%,127.5,134.5
42,Jaxson Hayes,Oct 28 '19 NOP vs. GSW,19,7,16.55,2.66,4.02,0.08,0.28,1.41,2.04,1.35,3.93,0.73,0.46,0.67,0.70,2.02,6.81,hayesja02,82.25,218.6,87.5,110.5,9.25,10.5,27,34.5,11.74,3.23,3.37,5,106.40%,9710.00%,137.5,145
46,Jaylen Hoard,Nov 10 '19 POR vs. ATL,20,3,17.00,2.64,5.38,0.23,1.00,1.08,1.74,1.67,4.64,1.15,0.62,0.26,0.74,1.15,6.59,hoardja01,79.25,212.6,84.75,105.5,8.75,9.8,27.5,35.5,11.44,3.32,3.34,8,106.90%,8530.00%,133,141
80,Jaylen Nowell,Nov 6 '19 MIN @ MEM,20,6,17.17,3.40,7.69,0.96,3.04,1.09,1.38,0.45,2.17,1.85,0.48,0.17,0.72,1.37,8.85,nowelja01,75.25,202.4,79.25,98,8.25,8.5,32,38.5,10.76,3.13,3.23,2,105.30%,7010.00%,130,136.5
8,Jordan Bone,Nov 4 '19 DET @ WAS,22,2,10.38,1.17,3.08,0.50,1.75,0.00,0.00,0.17,1.17,1.08,0.13,0.00,0.21,0.71,2.83,bonejo01,73.5,179,75.25,95,7.5,9.3,36,42.5,9.97,2.78,3.08,7,102.40%,6940.00%,131,137.5
90,Jordan Poole,Oct 24 '19 GSW vs. LAC,20,7,27.41,5.61,13.39,2.47,7.17,3.01,3.43,0.36,2.64,3.72,0.85,0.28,2.29,2.53,16.70,poolejo01,75.5,190.8,78.75,99.5,8.25,8.5,28,35.5,10.59,3.14,3.27,NA,104.30%,7010.00%,127.5,135
91,Kevin Porter Jr.,Oct 23 '19 CLE @ ORL,19,6,27.94,5.12,11.75,1.65,4.74,2.36,3.14,0.76,4.23,4.87,1.20,0.29,2.64,2.30,14.26,porteke02,76,212.6,81,103,8.75,8.8,27,34,10.82,3.03,3.14,2,106.60%,7660.00%,130,137
10,Ky Bowman,Oct 24 '19 GSW vs. LAC,22,1,22.56,2.98,7.13,0.73,2.38,0.76,0.91,0.53,2.69,2.91,0.98,0.22,1.56,2.27,7.44,bowmaky01,73,181.2,79,98,8.25,9,27.5,33,11.11,3.11,3.26,4,108.20%,7430.00%,125.5,131
37,Kyle Guy,Jan 10 '20 SAC vs. MIL,22,3,8.13,1.08,2.98,0.51,1.68,0.45,0.60,0.17,1.00,0.94,0.25,0.02,0.45,0.62,3.11,guyky01,72.75,167.8,76.5,95.5,8,8.8,30.5,36.5,10.48,3.07,3.27,4,105.20%,7000.00%,126,132
82,KZ Okpala,Oct 23 '19 MIA vs. MEM,20,4,9.85,0.87,2.12,0.29,1.00,0.24,0.37,0.41,1.51,0.48,0.23,0.27,0.29,1.28,2.27,okpalkz01,79.25,209.6,85.75,106.5,9.25,9.3,30.5,37,10.88,3.13,3.38,9,108.20%,8560.00%,137,143.5
57,Louis King,Dec 26 '19 DET vs. WAS,20,4,10.37,1.78,4.26,0.74,2.11,0.48,0.74,0.30,1.63,0.93,0.44,0.15,0.30,1.37,4.78,kinglo02,78.75,195.2,84.25,104.5,8,8.5,29,33,10.99,3.05,3.28,0,107.00%,6800.00%,133.5,137.5
26,Luguentz Dort,Dec 6 '19 OKC vs. MIN,20,7,29.08,4.04,9.93,2.01,5.60,1.75,2.22,1.05,3.86,1.57,0.95,0.42,1.08,2.92,11.84,dortlu01,74.75,222.2,80.5,99.5,8.5,9,32.5,38,10.79,3.13,3.22,14,107.70%,7650.00%,132,137.5
98,Luka Šamanić,Mar 6 '20 SAS @ BRK,20,4,10.71,1.60,3.91,0.42,1.70,0.84,1.19,0.45,2.44,0.64,0.22,0.22,0.70,1.14,4.47,samanlu01,81.5,227.2,82.5,107,8.5,9,27,38,11.01,3.03,3.27,7,101.20%,7650.00%,134,145
100,Marial Shayok,Feb 6 '20 PHI @ MIL,24,1,7.00,0.75,3.00,0.50,1.50,0.75,1.00,0.25,1.75,0.25,0.00,0.25,0.75,1.00,2.75,shayoma01,76.5,196.8,84.25,103.5,8.75,9.3,29.5,36.5,11.16,3.04,3.37,9,110.10%,8090.00%,133,140
55,Mfiondu Kabengele,Oct 24 '19 LAC @ GSW,22,3,6.91,0.89,2.33,0.40,1.33,0.42,0.49,0.33,1.47,0.35,0.22,0.27,0.33,0.87,2.60,kabenmf01,80.75,256.2,87,109.5,9.25,10.8,28,35.5,11.21,3.3,3.25,6,107.70%,9940.00%,137.5,145
31,Michael Frazier,Jan 9 '20 HOU @ OKC,25,1,11.15,0.54,2.23,0.31,1.77,0.69,1.08,0.08,0.77,0.15,0.15,0.00,0.38,1.69,2.08,frazimi01,76.25,205.6,82.75,100.5,9,10,30.5,38.5,11.71,3.12,3.17,19,108.50%,9000.00%,131,139
15,Moses Brown,Nov 10 '19 POR vs. ATL,20,6,11.72,2.10,3.66,0.00,0.00,1.07,1.96,1.85,4.91,0.15,0.33,0.55,0.63,1.45,5.26,brownmo01,85.25,237.2,88.75,113,9.5,10.3,27,31,11.95,3.3,3.51,NA,104.10%,9740.00%,140,144
62,Nassir Little,Oct 25 '19 POR @ SAC,19,5,15.76,2.02,4.47,0.73,2.20,0.77,1.05,0.68,2.90,0.72,0.31,0.39,0.52,1.31,5.54,littlna01,76.5,224.2,85.25,104.5,8.75,10,31,38.5,12.15,3.1,3.24,5,111.40%,8750.00%,135.5,143
95,Naz Reid,Dec 8 '19 MIN @ LAL,20,7,21.52,4.50,9.28,1.52,4.06,1.37,1.88,1.13,5.07,1.47,0.68,0.91,1.24,2.41,11.89,reidna01,80.75,255.8,87.25,109,9.5,9.3,26,32.5,12.03,3.76,3.42,3,108.00%,8790.00%,135,141.5
20,Nic Claxton,Nov 8 '19 BRK @ POR,20,7,26.28,4.57,7.28,0.03,0.15,1.46,2.65,2.26,7.65,2.03,0.71,1.65,1.14,2.34,10.64,claxtni01,82,216.6,86.5,110,9.25,9.5,31.5,36.5,11.26,3.47,3.36,8,105.50%,8790.00%,141.5,146.5
13,Oshae Brissett,Nov 18 '19 TOR vs. CHO,21,6,17.48,2.16,5.17,0.81,2.39,1.43,2.06,1.18,3.86,0.81,0.53,0.32,0.57,1.34,6.57,brissos01,79,203.2,84,104,9,9.5,34,37.5,11.3,3.18,3.48,11,106.30%,8550.00%,138,141.5
113,Quinndary Weatherspoon,Feb 8 '20 SAS @ SAC,23,3,6.48,0.79,1.74,0.07,0.38,0.45,0.55,0.14,0.76,0.57,0.29,0.10,0.43,0.98,2.10,weathqu01,75,206.6,81,100,8.5,9,31,38,11.57,3.15,3.16,NA,108.00%,7650.00%,131,138
89,Shamorie Ponds,Nov 27 '19 TOR vs. NYK,21,1,2.75,0.75,1.25,0.25,0.50,0.50,0.50,0.00,0.25,0.50,0.00,0.25,0.00,0.50,2.25,pondssh01,71.5,180,75.5,96.5,7.75,8,29,37,11.01,3.07,3.2,0,105.60%,6200.00%,125.5,133.5
29,Tacko Fall,Oct 26 '19 BOS @ NYK,24,3,6.16,1.00,1.49,0.00,0.00,0.22,0.68,0.65,2.43,0.16,0.05,0.81,0.32,0.86,2.22,fallta01,89.25,288.8,98.25,122.5,10.5,10.5,22,26.5,13.01,3.46,3.78,8,110.10%,11030.00%,144.5,149
47,Talen Horton-Tucker,Dec 8 '19 LAL vs. MIN,19,6,19.48,3.40,7.95,0.82,2.73,1.60,2.08,0.48,2.62,2.79,0.78,0.36,1.39,1.79,9.21,hortota01,74.5,235.4,85.25,103,9.5,9.8,26,34.5,11.34,3.43,3.34,10,114.40%,9260.00%,129,137.5
63,Terance Mann,Oct 24 '19 LAC @ GSW,23,7,22.41,3.07,6.19,0.80,2.18,1.08,1.38,1.00,3.50,2.07,0.57,0.22,0.81,1.94,8.03,mannte01,76.75,204.6,79.75,101,9.5,9.3,32.5,38.5,11.51,3.14,3.3,6,103.90%,8790.00%,133.5,139.5
25,Terence Davis,Oct 22 '19 TOR vs. NOP,22,5,16.09,2.90,6.69,1.45,3.96,0.73,0.88,0.44,2.74,1.34,0.66,0.22,0.99,1.73,7.97,daviste02,75,192.4,80.75,101,9.25,10.8,29.5,34,10.69,2.96,3.28,13,107.70%,9940.00%,130.5,135
111,Tremont Waters,Nov 25 '19 BOS vs. SAC,22,3,10.18,1.30,3.68,0.53,1.78,0.60,0.63,0.13,0.93,2.13,0.75,0.08,1.15,0.85,3.73,watertr01,69.5,172.4,74.25,93.5,8,9.8,30.5,40.5,10.76,3.11,3.07,5,106.80%,7800.00%,124,134
52,Ty Jerome,Dec 2 '19 PHO @ CHO,22,7,18.14,3.26,7.08,1.27,3.33,1.15,1.36,0.41,2.04,2.91,0.74,0.10,1.00,1.46,8.95,jeromty01,76.25,194.4,76,98,8.25,9.5,26,31.5,11.21,3.12,3.4,2,99.70%,7840.00%,124,129.5
23,Tyler Cook,Oct 26 '19 CLE vs. IND,22,3,10.65,1.54,2.35,0.02,0.03,0.69,1.15,0.77,2.49,0.32,0.23,0.09,0.48,1.05,3.78,cookty01,79.25,245.4,84.5,106.5,9.5,10.8,27.5,32,11.32,3.1,3.28,11,106.60%,10210.00%,134,138.5
