Rk,Player,Debut,Age,Yrs,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,ID,Height,Weight,Wingspan,Standing Reach,Hand Length,Hand Width,Standing Vertical,Vertical Leap,LANE,SHUTTLE,SPRINT,BENCH,BAR,PAN,PBHGT,PDHGT
96,Jordan Walsh,Jan 17 '24 BOS vs. SAS,19,1,9.2,0.67,1.67,0.22,1.00,0.11,0.22,0.56,2.22,0.56,0.56,0.11,0.33,1.22,1.67,walshjo01,77.8,204,85.8,107,8.75,8.5,33,36,10.83,NA,3.3,NA,110.30%,74.4,140,143
68,Julian Phillips,Oct 25 '23 CHI vs. OKC,20,1,8.1,0.80,1.93,0.30,0.95,0.33,0.48,0.30,0.90,0.33,0.18,0.18,0.25,1.00,2.23,phillju01,78.8,196.6,83.5,102,8.5,9,36,43,11.09,NA,3.32,NA,106.00%,76.5,138,145
86,Julian Strawther,Oct 27 '23 DEN @ MEM,21,1,10.9,1.64,4.44,0.82,2.76,0.44,0.62,0.10,1.22,0.94,0.34,0.14,0.46,1.08,4.54,strawju01,78,208.8,81.3,105,8.25,8.3,27.5,34.5,10.94,3.46,3.31,NA,104.20%,68.1,132.5,139.5
10,Kobe Brown,Oct 25 '23 LAC vs. POR,24,1,9.0,0.84,2.05,0.32,1.09,0.02,0.05,0.45,1.41,0.57,0.27,0.14,0.20,1.11,2.02,brownko01,78.5,252.2,84.8,106.5,8.75,9.8,29,32,11,3,3,NA,108.00%,85.3,135.5,138.5
11,Kobe Bufkin,Oct 29 '23 ATL @ MIL,20,1,11.5,2.00,5.41,0.53,2.35,0.24,0.47,0.35,1.94,1.59,0.41,0.29,0.59,1.18,4.76,bufkiko01,76.3,186.8,79.8,102.5,8,9.3,29,36,12,NA,3,NA,104.60%,74,131.5,138.5
62,Kris Murray,Oct 25 '23 POR @ LAC,23,1,21.7,2.34,5.90,0.79,2.95,0.60,0.90,1.37,3.61,1.29,0.85,0.34,0.89,1.48,6.06,murrakr01,79.8,212.8,83.8,106,8.5,9,29.5,35,11.11,NA,3.3,NA,105.00%,76.5,135.5,141
59,Leonard Miller,Oct 28 '23 MIN vs. MIA,20,1,3.1,0.76,1.18,0.12,0.29,0.06,0.12,0.29,1.18,0.47,0.12,0.06,0.06,0.29,1.71,millele01,81.3,212.8,86,106.5,9.5,10.5,32,37.5,11,NA,3.33,NA,105.80%,99.8,138.5,144
78,Marcus Sasser,Oct 25 '23 DET @ MIA,23,1,19.0,3.08,7.21,1.27,3.38,0.82,0.93,0.15,1.76,3.32,0.62,0.17,1.27,1.45,8.25,sassema01,73.3,195.6,79,99.5,8.75,9.5,27,35,10.68,NA,3.43,NA,107.80%,83.1,126.5,134.5
50,Maxwell Lewis,Oct 24 '23 LAL @ DEN,21,1,3.0,0.12,0.62,0.03,0.26,0.06,0.09,0.06,0.12,0.18,0.06,0.03,0.29,0.15,0.32,lewisma05,78.3,207.2,84,104.5,8.75,9.5,32.5,36.5,11.4,NA,3.43,NA,107.30%,83.1,137,141
72,Olivier-Maxence Prosper,Nov 3 '23 DAL @ DEN,21,1,8.4,1.00,2.60,0.33,1.13,0.70,1.03,0.63,1.98,0.55,0.18,0.10,0.20,0.50,3.03,prospol01,78.8,212.4,85,104,8.25,10,35,40.5,10.59,3,3.21,NA,107.90%,82.5,139,144.5
6,Onuralp Bitim,Nov 4 '23 CHI @ DEN,24,1,11.7,1.39,3.65,0.52,1.91,0.17,0.22,0.26,1.39,0.57,0.13,0.09,0.43,1.04,3.48,bitimon01,79.3,253.6,87.5,108,9.75,10.3,29.5,32.5,12.26,NA,3.32,NA,110.40%,99.9,137.5,140.5
74,Rayan Rupert,Oct 25 '23 POR @ LAC,19,1,16.2,1.38,4.13,0.72,2.00,0.49,0.64,0.62,2.36,1.59,0.31,0.08,0.79,1.44,3.97,ruperra01,78,193.2,86,106,8.5,9.5,27.5,32.5,11.18,NA,3.43,NA,110.30%,80.8,133.5,138.5
19,Ricky Council IV,Jan 2 '24 PHI vs. CHI,22,1,9.0,1.69,3.50,0.38,1.00,1.66,2.22,0.44,1.44,0.50,0.25,0.03,0.16,0.53,5.41,councri01,77,208,81,103,7.75,8.5,31,37,11.2,3,3,NA,105.20%,65.9,134,140
54,Seth Lundy,Dec 15 '23 ATL @ TOR,23,1,5.8,0.44,1.89,0.33,1.44,0.33,0.44,0.11,0.78,0.00,0.00,0.00,0.11,0.67,1.56,lundyse01,76,214.4,82.3,104,8.5,9,31.5,35.5,11.02,NA,3.15,NA,108.20%,76.5,135.5,139.5
16,Sidy Cissoko,Nov 20 '23 SAS vs. LAC,19,1,11.8,1.33,2.75,0.08,1.00,1.00,1.25,0.67,1.83,0.83,0.58,0.25,0.25,1.50,3.75,cissosi01,77.5,223.8,81.8,104,9.25,10,31,36,11.24,NA,3,NA,105.50%,92.5,135,140
37,Taylor Hendricks,Oct 25 '23 UTA vs. SAC,20,1,21.4,2.70,6.00,1.33,3.50,0.58,0.73,1.15,4.63,0.80,0.70,0.75,0.68,1.93,7.30,hendrta01,80.3,213.6,84.5,107,9.25,10.3,33,36,11.27,NA,3,NA,105.30%,94.8,140,143
84,Terquavion Smith,Jan 19 '24 PHI @ ORL,21,1,5.3,1.13,2.88,0.81,2.19,0.19,0.31,0.00,0.25,0.75,0.50,0.00,0.44,0.50,3.25,smithte01,74.5,163.2,78.8,98,8.5,8,30,37,10.86,NA,3.21,NA,105.70%,68,128,135
12,Toumani Camara,Oct 25 '23 POR @ LAC,23,1,24.8,2.81,6.26,0.83,2.46,1.07,1.41,1.99,4.90,1.24,0.94,0.47,1.20,2.49,7.53,camarto01,79,220.4,84.5,107,9,10,29,33,11,3,3,NA,107.00%,90,136,140
