Rk,YEAR,Player,POS,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,ID,Height,Weight,Wingspan,Standing Reach,HANDL,HANDW,Standing Vertical,Leaping Vertical,LANE,SHUTTLE,SPRINT,BENCH,BAR,PAN,PBHGT,PDHGT
61,2021,George King,SF-SG,Dec 11 '18 PHO @ SAS,25,1,1,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,kingge03,76.75,218.6,83.5,101.5,9,10.3,31,39,10.75,3.08,3.29,15,108.80%,92.3,132.5,140.5
44,2018,GG Jackson II,PF,Oct 30 '23 MEM vs. DAL,19,1,48,25.69,5.02,11.73,2.13,5.96,2.40,3.19,1.10,4.08,1.23,0.58,0.50,1.35,1.33,14.56,jacksgg01,80.3,214.4,83.5,106,8.5,10,31,37,11.39,NA,3,NA,104.00%,85,137,143
22,2018,Gradey Dick,SG,Oct 25 '23 TOR vs. MIN,20,1,60,21.13,3.15,7.42,1.47,4.02,0.73,0.85,0.45,2.20,1.13,0.57,0.03,0.83,1.45,8.50,dickgr01,78.3,204,80.8,101,8.25,9,29,34,11.13,3,4,NA,103.20%,74.3,130,135
75,2018,Grant Riller,PG-SG,Apr 4 '21 CHO @ BOS,23,1,7,3.86,1.14,1.71,0.29,0.57,0.00,0.00,0.00,0.14,0.43,0.14,0.00,0.14,0.00,2.57,rillegr01,72.25,178.4,77.25,96.5,8,8.5,32.5,39.5,11.17,2.45,3.07,NA,106.90%,68,129,136
5,2024,Grayson Allen,SG,Oct 22 '18 UTA vs. MEM,23,1,38,10.95,1.76,4.68,0.84,2.61,1.18,1.58,0.08,0.61,0.66,0.16,0.16,0.87,1.24,5.55,allengr01,75,198,79.25,97,8.25,10,32.5,40.5,10.31,3.04,3.15,NA,105.70%,82.5,129.5,137.5
13,2023,Greg Brown III,PF,Oct 23 '21 POR vs. PHO,20,1,48,13.33,1.69,3.96,0.40,1.27,0.92,1.35,0.79,2.81,0.73,0.54,0.50,0.75,1.88,4.69,browngr01,79.25,206.4,84.25,107,9,9.8,33.5,39,10.98,2.98,3.19,NA,106.30%,87.8,140.5,146
34,2024,Hamidou Diallo,SG,Oct 16 '18 OKC @ GSW,20,1,51,10.31,1.47,3.24,0.08,0.47,0.71,1.16,0.75,1.90,0.33,0.41,0.20,0.45,1.51,3.73,diallha01,76.25,197,83.5,103,8.75,9,32.5,40.5,10.53,3.14,3.1,1,109.50%,78.8,135.5,143.5
44,2023,Harrison Ingram,SF,Nov 6 '24 SAS @ HOU,22,1,5,7.00,0.40,0.80,0.00,0.20,0.00,0.00,0.40,1.80,0.60,0.60,0.00,0.20,0.40,0.80,ingraha01,77.3,233.6,84.3,102.5,9,10.3,29,35,11.36,2.94,3.17,NA,109.10%,92.3,131.5,137.5
53,2019,Herbert Jones,SF,Oct 20 '21 NOP vs. PHI,23,1,78,29.94,3.51,7.38,0.73,2.17,1.76,2.09,1.26,3.79,2.14,1.67,0.77,1.28,3.05,9.51,joneshe01,78,206.4,84.25,106,8.5,9,28.5,36.5,11.02,3.17,3.25,NA,108.00%,76.5,134.5,142.5
71,2020,Immanuel Quickley,SG,Dec 23 '20 NYK @ IND,21,1,64,19.42,3.58,9.06,1.84,4.73,2.42,2.72,0.39,2.14,1.98,0.47,0.19,0.91,1.78,11.42,quickim01,74,185.8,80.25,99,8,8.8,29.5,35.5,11.21,2.46,3.17,NA,108.40%,70,128.5,134.5
