pos,best,average,value1,value2,value3,value4,value5,competitionId,eventId,roundTypeId,personName,personId,formatId,regionalSingleRecord,regionalAverageRecord,personCountryId
1,408,497,489,520,408,483,585,SunwayVelocityMallOpen2024,333,f,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,441,566,633,501,739,565,441,BaliDiscoveryMasters2024,333,1,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,431,470,438,478,513,431,494,BaliDiscoveryMasters2024,333,2,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,419,479,463,489,501,484,419,BaliDiscoveryMasters2024,333,f,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,456,479,573,486,474,456,478,JohorCubeOpen2024,333,1,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,400,487,651,439,459,564,400,JohorCubeOpen2024,333,2,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,420,491,452,420,574,448,662,JohorCubeOpen2024,333,f,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,397,436,611,397,448,459,402,PhilippineChampionship2024,333,1,Yiheng Wang (王艺衡),2019WANY36,a,NULL,WR,China
1,484,511,516,484,622,522,496,PhilippineChampionship2024,333,2,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,431,466,431,470,449,480,548,PhilippineChampionship2024,333,3,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,433,504,461,506,433,596,545,PhilippineChampionship2024,333,f,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,398,495,506,508,613,472,398,AustralianNationals2024,333,1,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,376,508,445,592,488,656,376,AustralianNationals2024,333,2,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,426,506,518,512,426,488,559,AustralianNationals2024,333,3,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,433,508,540,524,461,433,1028,AustralianNationals2024,333,f,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
4,468,570,694,479,695,538,468,XianOpen2024,333,1,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,398,446,442,398,469,564,427,XianOpen2024,333,2,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,441,524,612,441,469,492,623,XianOpen2024,333,3,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,454,488,489,454,598,457,518,XianOpen2024,333,f,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,396,425,476,398,481,400,396,DeqingSmallCubesSummer2024,333,1,Yiheng Wang (王艺衡),2019WANY36,a,NULL,WR,China
2,546,556,552,572,562,546,553,DeqingSmallCubesSummer2024,333,2,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,433,473,503,446,433,469,638,DeqingSmallCubesSummer2024,333,f,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,373,485,570,536,377,543,373,WarmUpatgatewayklia22024,333,1,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,402,452,466,402,418,550,473,WarmUpatgatewayklia22024,333,2,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,405,433,435,405,450,446,419,WarmUpatgatewayklia22024,333,3,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,409,485,463,409,519,791,472,WarmUpatgatewayklia22024,333,f,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,441,489,569,441,455,487,526,DalianOpen2024,333,1,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
2,434,506,502,434,651,544,472,DalianOpen2024,333,2,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,408,457,478,408,484,460,432,DalianOpen2024,333,f,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,409,470,451,480,480,628,409,XuzhouAutumn2024,333,1,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,430,498,616,488,497,508,430,XuzhouAutumn2024,333,2,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,396,464,641,460,473,458,396,XuzhouAutumn2024,333,3,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,371,409,383,516,455,371,388,XuzhouAutumn2024,333,f,Yiheng Wang (王艺衡),2019WANY36,a,NULL,WR,China
2,490,569,525,671,490,617,564,GuilinOpen2024,333,1,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
2,327,491,578,657,433,327,461,GuilinOpen2024,333,2,Yiheng Wang (王艺衡),2019WANY36,a,AsR,NULL,China
1,428,450,450,436,428,464,1105,GuilinOpen2024,333,f,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,432,459,666,432,464,482,432,HarbinOpen2024,333,1,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,437,477,474,464,492,671,437,HarbinOpen2024,333,2,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,378,497,501,553,437,378,698,HarbinOpen2024,333,f,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,369,409,396,429,448,369,401,RubiksWCAAsianChampionship2024,333,1,Yiheng Wang (王艺衡),2019WANY36,a,NULL,WR,China
3,468,520,564,502,493,468,593,RubiksWCAAsianChampionship2024,333,2,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
2,361,527,361,562,508,565,511,RubiksWCAAsianChampionship2024,333,3,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,415,442,432,481,468,426,415,RubiksWCAAsianChampionship2024,333,f,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,454,525,461,592,454,521,648,CoolDownSingapore2024,333,d,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,428,465,428,520,439,489,466,CoolDownSingapore2024,333,2,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,390,522,546,524,497,548,390,CoolDownSingapore2024,333,3,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,406,426,428,415,406,434,549,CoolDownSingapore2024,333,f,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,375,421,428,463,375,448,386,ZhengzhouOpen2024,333,1,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,378,466,477,465,589,457,378,ZhengzhouOpen2024,333,2,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,384,405,384,425,414,413,387,ZhengzhouOpen2024,333,f,Yiheng Wang (王艺衡),2019WANY36,a,NULL,WR,China
1,365,478,365,444,495,521,496,HangzhouOpen2024,333,1,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
2,403,473,592,475,451,403,493,HangzhouOpen2024,333,2,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,392,454,492,413,457,557,392,HangzhouOpen2024,333,f,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
2,416,481,573,416,417,452,575,YanchengOpen2024,333,1,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
2,411,482,510,601,487,411,449,YanchengOpen2024,333,2,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,383,485,421,651,516,383,519,YanchengOpen2024,333,f,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
2,481,549,485,551,612,481,612,BeijingWinter2025,333,1,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
2,497,560,582,688,562,497,536,BeijingWinter2025,333,2,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,422,491,537,531,445,496,422,BeijingWinter2025,333,f,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,441,494,481,488,513,518,441,ChongqingNewYear2025,333,1,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,344,446,552,448,404,344,485,ChongqingNewYear2025,333,2,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,398,415,422,398,419,403,567,ChongqingNewYear2025,333,f,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,395,463,395,407,571,470,512,BangkokCubeFestival2025,333,1,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,434,503,434,590,597,458,460,BangkokCubeFestival2025,333,2,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,382,561,442,382,743,541,699,BangkokCubeFestival2025,333,f,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
7,456,604,456,611,744,458,758,ChengduSpringOpen2025,333,1,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,396,458,396,503,521,463,407,ChengduSpringOpen2025,333,2,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,406,469,454,411,601,542,406,ChengduSpringOpen2025,333,3,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,359,430,359,412,434,467,443,ChengduSpringOpen2025,333,f,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,386,472,606,493,466,386,458,XMUMCubeOpen2025,333,1,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,308,500,441,724,308,667,393,XMUMCubeOpen2025,333,2,Yiheng Wang (王艺衡),2019WANY36,a,WR,NULL,China
1,362,421,458,388,362,417,508,XMUMCubeOpen2025,333,f,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,378,492,428,542,537,378,511,PBsinPalisadesWinter2025,333,1,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
2,382,524,470,382,620,572,531,PBsinPalisadesWinter2025,333,2,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
2,486,517,544,493,513,486,600,PBsinPalisadesWinter2025,333,3,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,410,470,540,421,571,448,410,PBsinPalisadesWinter2025,333,f,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,421,531,640,421,519,567,508,LibertyScienceCenterOpenB2025,333,1,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,426,462,426,502,438,446,639,LibertyScienceCenterOpenB2025,333,2,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,383,436,432,484,383,391,528,LibertyScienceCenterOpenB2025,333,f,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,365,426,365,419,-1,456,402,XuzhouNewcomers2025,333,1,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,362,479,404,362,561,542,491,XuzhouNewcomers2025,333,2,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,400,447,400,506,453,460,427,XuzhouNewcomers2025,333,f,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,362,447,400,362,461,479,599,XianCherryBlossom2025,333,1,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,395,424,398,419,455,395,693,XianCherryBlossom2025,333,2,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,367,450,512,637,403,435,367,XianCherryBlossom2025,333,3,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,332,403,357,381,728,332,470,XianCherryBlossom2025,333,f,Yiheng Wang (王艺衡),2019WANY36,a,NULL,WR,China
2,391,522,564,555,-1,391,446,ShenyangSpring2025,333,1,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
2,460,495,460,519,-1,471,494,ShenyangSpring2025,333,2,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,406,421,434,406,413,416,475,ShenyangSpring2025,333,f,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
2,418,497,617,418,474,496,521,NanchangSpring2025,333,1,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,371,454,479,452,455,371,455,NanchangSpring2025,333,2,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
2,400,513,669,546,486,508,400,NanchangSpring2025,333,f,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,367,421,412,-1,404,367,446,BeijingSummer2025,333,1,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,415,421,417,416,429,482,415,BeijingSummer2025,333,2,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
2,418,457,418,497,439,736,434,BeijingSummer2025,333,3,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,345,442,345,629,459,495,373,BeijingSummer2025,333,f,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,379,450,379,472,450,428,474,LishuiOpen2025,333,1,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,370,391,417,374,370,381,493,LishuiOpen2025,333,2,Yiheng Wang (王艺衡),2019WANY36,a,NULL,WR,China
2,343,501,717,343,533,534,437,LishuiOpen2025,333,f,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,391,434,452,463,428,391,423,gatewayKLIA2CubeOpen2025,333,1,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
