userAccuracy,opponentAccuracy,gameUrl,gameId,timeClass,fen,userColor,userRating,opponent,opponentRating,opponentUrl,result,wonBy,date,openingUrl,opening,startTime,endTime,outcome,moveCount
82.33,77.71,https://www.chess.com/game/live/752804342?ref_id=74104030,752804342,blitz,3Q4/p3P1kp/1pb2rp1/8/8/8/4r2P/6RK w - -,black,2731,Yaacovn,2468,https://www.chess.com/member/Yaacovn,win,resigned,2014.03.15,https://www.chess.com/openings/Dutch-Defense-Queens-Knight-Ozols-Variation-5.g3,Dutch Defense Queens Knight Ozols Variation 5.g3,21:59:48,22:05:27,40,resigned
86.26,78.25,https://www.chess.com/game/live/752811777?ref_id=74104030,752811777,blitz,r3r1k1/6b1/7p/6p1/2pNP3/p3RN2/Qq2K3/8 w - -,black,2739,Yaacovn,2462,https://www.chess.com/member/Yaacovn,win,resigned,2014.03.15,https://www.chess.com/openings/English-Opening-Symmetrical-Variation-2.Nf3-g6-3.e3-Bg7-4.d4,English Opening Symmetrical Variation 2.Nf3 g6 3.e3 Bg7 4.d4,22:11:10,22:16:52,41,resigned
91.22,85.4,https://www.chess.com/game/live/752818396?ref_id=74104030,752818396,blitz,8/8/1p1p4/1PnP4/1KP3k1/8/8/8 b - -,black,2745,Yaacovn,2456,https://www.chess.com/member/Yaacovn,win,resigned,2014.03.15,https://www.chess.com/openings/Kings-Indian-Defense-Normal-Variation-4.Nf3-d6-5.Bf4,Kings Indian Defense Normal Variation 4.Nf3 d6 5.Bf4,22:21:08,22:26:16,59,resigned
93.14,88.44,https://www.chess.com/game/live/752801207?ref_id=74104030,752801207,blitz,3r2k1/4Rp1p/3N3P/3p1pP1/PK1P1P2/8/8/6n1 b - -,white,2727,Yaacovn,2471,https://www.chess.com/member/Yaacovn,win,resigned,2014.03.15,https://www.chess.com/openings/Indian-Game-2.Bf4-e6,Indian Game 2.Bf4 e6,21:55:12,21:59:37,50,resigned
,,https://www.chess.com/game/live/752808247?ref_id=74104030,752808247,blitz,3R2k1/1R6/5np1/6p1/3P2P1/5PNK/r1r5/8 b - -,white,2735,Yaacovn,2465,https://www.chess.com/member/Yaacovn,win,resigned,2014.03.15,https://www.chess.com/openings/Indian-Game-2.Bf4-e6,Indian Game 2.Bf4 e6,22:05:35,22:10:55,55,resigned
,,https://www.chess.com/game/live/752815753?ref_id=74104030,752815753,blitz,1Rb4q/5pk1/2R3p1/r2p4/3PpP1b/4P2P/3Q3K/5B2 b - -,white,2742,Yaacovn,2459,https://www.chess.com/member/Yaacovn,win,resigned,2014.03.15,https://www.chess.com/openings/Slav-Defense-Modern-Breyer-Variation...6.Bg2-e6-7.O-O-Nbd7,Slav Defense Modern Breyer Variation...6.Bg2 e6 7.O O Nbd7,22:17:07,22:20:58,40,resigned
,,https://www.chess.com/game/live/752821901?ref_id=74104030,752821901,blitz,3b2r1/1R1k4/r3pp2/P1Pp1p1p/3P1B1P/3K2P1/5P2/4R3 b - -,white,2748,Yaacovn,2453,https://www.chess.com/member/Yaacovn,win,resigned,2014.03.15,https://www.chess.com/openings/Caro-Kann-Defense-Two-Knights-Attack...4.Nxe4-Nf6-5.Nxf6-gxf6,Caro Kann Defense Two Knights Attack...4.Nxe4 Nf6 5.Nxf6 gxf6,22:26:23,22:29:00,33,resigned
,,https://www.chess.com/game/live/752823690?ref_id=74104030,752823690,blitz,8/5p1k/3p2p1/3P2B1/1q2rP2/n2Q3P/1bp3P1/5RK1 w - -,black,2751,Yaacovn,2451,https://www.chess.com/member/Yaacovn,win,resigned,2014.03.15,https://www.chess.com/openings/Kings-Indian-Defense-Normal-Variation-4.Nf3-d6-5.Bf4,Kings Indian Defense Normal Variation 4.Nf3 d6 5.Bf4,22:29:18,22:34:00,34,resigned
80.56,78.21,https://www.chess.com/game/live/806491601?ref_id=74104030,806491601,blitz,8/2kb4/2P5/1P6/1K1N4/8/8/8 b - -,white,2755,wonderfultime,2440,https://www.chess.com/member/wonderfultime,win,timeout,2014.05.14,https://www.chess.com/openings/Queens-Pawn-Opening-Krause-Variation...4.Bf4-Nc6-5.e3-Nf6,Queens Pawn Opening Krause Variation...4.Bf4 Nc6 5.e3 Nf6,13:46:05,13:52:42,79,timeout
82.12,66.96,https://www.chess.com/game/live/806526348?ref_id=74104030,806526348,blitz,2r3k1/p4pb1/1p1P2pp/4r1n1/1BP1p2N/6Pq/P2Q1PK1/3RR3 w - -,black,2786,wonderfultime,2422,https://www.chess.com/member/wonderfultime,win,resigned,2014.05.14,https://www.chess.com/openings/English-Opening-Anglo-Indian-Defense...3.Bg2-Bg7-4.Nc3-c6,English Opening Anglo Indian Defense...3.Bg2 Bg7 4.Nc3 c6,14:35:12,14:39:03,29,resigned
84.58,78.77,https://www.chess.com/game/live/806523501?ref_id=74104030,806523501,blitz,q3b1k1/4bpp1/1p1Bp2p/pPn5/2P5/P3QNP1/3R1P1P/6K1 b - -,white,2783,wonderfultime,2424,https://www.chess.com/member/wonderfultime,win,resigned,2014.05.14,https://www.chess.com/openings/Old-Benoni-Defense-2.dxc5-e6,Old Benoni Defense 2.dxc5 e6,14:31:14,14:34:48,29,resigned
84.98,88.33,https://www.chess.com/game/live/806533094?ref_id=74104030,806533094,blitz,8/pKN5/1p6/1P6/1k6/8/8/8 b - -,black,2767,wonderfultime,2434,https://www.chess.com/member/wonderfultime,resigned,,2014.05.14,https://www.chess.com/openings/Kings-Indian-Attack-Double-Fianchetto-Variation-3.d4-Bg7-4.Bg2-c6-5.O-O,Kings Indian Attack Double Fianchetto Variation 3.d4 Bg7 4.Bg2 c6 5.O O,14:44:37,14:50:51,69,resigned
87.35,81.52,https://www.chess.com/game/live/806511914?ref_id=74104030,806511914,blitz,8/1Q6/8/8/8/8/2rr4/2k4K w - -,black,2774,wonderfultime,2430,https://www.chess.com/member/wonderfultime,win,resigned,2014.05.14,https://www.chess.com/openings/Caro-Kann-Defense-Gurgenidze-System-4.Nf3-Bg7-5.Be2-Bg4-6.Be3,Caro Kann Defense Gurgenidze System 4.Nf3 Bg7 5.Be2 Bg4 6.Be3,14:15:03,14:21:06,56,resigned
87.52,82.8,https://www.chess.com/game/live/806529361?ref_id=74104030,806529361,blitz,4r3/1k6/2pK4/2Pp1p2/5P2/1R2P3/8/8 b - -,white,2789,wonderfultime,2420,https://www.chess.com/member/wonderfultime,win,resigned,2014.05.14,https://www.chess.com/openings/Queens-Pawn-Opening-Torre-Attack-3...c6,Queens Pawn Opening Torre Attack 3...c6,14:39:27,14:44:13,54,resigned
